PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
41,0,2,40.0,1,0,9.475,1,0,0,0,1
42,0,1,27.0,1,0,21.0,1,0,0,0,1
43,0,2,,0,0,7.8958,0,1,1,0,0
44,1,1,3.0,1,2,41.5792,1,0,1,0,0
45,1,2,19.0,0,0,7.8792,1,0,0,1,0
46,0,2,,0,0,8.05,0,1,0,0,1
47,0,2,,1,0,15.5,0,1,0,1,0
48,1,2,,0,0,7.75,1,0,0,1,0
49,0,2,,2,0,21.6792,0,1,1,0,0
50,0,2,18.0,1,0,17.8,1,0,0,0,1
51,0,2,7.0,4,1,39.6875,0,1,0,0,1
52,0,2,21.0,0,0,7.8,0,1,0,0,1
53,1,0,49.0,1,0,76.7292,1,0,1,0,0
54,1,1,29.0,1,0,26.0,1,0,0,0,1
55,0,0,65.0,0,1,61.9792,0,1,1,0,0
56,1,0,,0,0,35.5,0,1,0,0,1
57,1,1,21.0,0,0,10.5,1,0,0,0,1
58,0,2,28.5,0,0,7.2292,0,1,1,0,0
59,1,1,5.0,1,2,27.75,1,0,0,0,1
60,0,2,11.0,5,2,46.9,0,1,0,0,1
61,0,2,22.0,0,0,7.2292,0,1,1,0,0
62,1,0,38.0,0,0,80.0,1,0,0,0,0
63,0,0,45.0,1,0,83.475,0,1,0,0,1
64,0,2,4.0,3,2,27.9,0,1,0,0,1
65,0,0,,0,0,27.7208,0,1,1,0,0
66,1,2,,1,1,15.2458,0,1,1,0,0
67,1,1,29.0,0,0,10.5,1,0,0,0,1
68,0,2,19.0,0,0,8.1583,0,1,0,0,1
69,1,2,17.0,4,2,7.925,1,0,0,0,1
70,0,2,26.0,2,0,8.6625,0,1,0,0,1
71,0,1,32.0,0,0,10.5,0,1,0,0,1
72,0,2,16.0,5,2,46.9,1,0,0,0,1
73,0,1,21.0,0,0,73.5,0,1,0,0,1
74,0,2,26.0,1,0,14.4542,0,1,1,0,0
75,1,2,32.0,0,0,56.4958,0,1,0,0,1
76,0,2,25.0,0,0,7.65,0,1,0,0,1
77,0,2,,0,0,7.8958,0,1,0,0,1
78,0,2,,0,0,8.05,0,1,0,0,1
79,1,1,0.83,0,2,29.0,0,1,0,0,1
80,1,2,30.0,0,0,12.475,1,0,0,0,1
81,0,2,22.0,0,0,9.0,0,1,0,0,1
82,1,2,29.0,0,0,9.5,0,1,0,0,1
83,1,2,,0,0,7.7875,1,0,0,1,0
84,0,0,28.0,0,0,47.1,0,1,0,0,1
85,1,1,17.0,0,0,10.5,1,0,0,0,1
86,1,2,33.0,3,0,15.85,1,0,0,0,1
87,0,2,16.0,1,3,34.375,0,1,0,0,1
88,0,2,,0,0,8.05,0,1,0,0,1
89,1,0,23.0,3,2,263.0,1,0,0,0,1
90,0,2,24.0,0,0,8.05,0,1,0,0,1
91,0,2,29.0,0,0,8.05,0,1,0,0,1
92,0,2,20.0,0,0,7.8542,0,1,0,0,1
93,0,0,46.0,1,0,61.175,0,1,0,0,1
94,0,2,26.0,1,2,20.575,0,1,0,0,1
95,0,2,59.0,0,0,7.25,0,1,0,0,1
96,0,2,,0,0,8.05,0,1,0,0,1
97,0,0,71.0,0,0,34.6542,0,1,1,0,0
98,1,0,23.0,0,1,63.3583,0,1,1,0,0
99,1,1,34.0,0,1,23.0,1,0,0,0,1
100,0,1,34.0,1,0,26.0,0,1,0,0,1
101,0,2,28.0,0,0,7.8958,1,0,0,0,1
102,0,2,,0,0,7.8958,0,1,0,0,1
103,0,0,21.0,0,1,77.2875,0,1,0,0,1
104,0,2,33.0,0,0,8.6542,0,1,0,0,1
105,0,2,37.0,2,0,7.925,0,1,0,0,1
106,0,2,28.0,0,0,7.8958,0,1,0,0,1
107,1,2,21.0,0,0,7.65,1,0,0,0,1
108,1,2,,0,0,7.775,0,1,0,0,1
109,0,2,38.0,0,0,7.8958,0,1,0,0,1
110,1,2,,1,0,24.15,1,0,0,1,0
111,0,0,47.0,0,0,52.0,0,1,0,0,1
112,0,2,14.5,1,0,14.4542,1,0,1,0,0
113,0,2,22.0,0,0,8.05,0,1,0,0,1
114,0,2,20.0,1,0,9.825,1,0,0,0,1
115,0,2,17.0,0,0,14.4583,1,0,1,0,0
116,0,2,21.0,0,0,7.925,0,1,0,0,1
117,0,2,70.5,0,0,7.75,0,1,0,1,0
118,0,1,29.0,1,0,21.0,0,1,0,0,1
119,0,0,24.0,0,1,247.5208,0,1,1,0,0
120,0,2,2.0,4,2,31.275,1,0,0,0,1
121,0,1,21.0,2,0,73.5,0,1,0,0,1
122,0,2,,0,0,8.05,0,1,0,0,1
123,0,1,32.5,1,0,30.0708,0,1,1,0,0
124,1,1,32.5,0,0,13.0,1,0,0,0,1
125,0,0,54.0,0,1,77.2875,0,1,0,0,1
126,1,2,12.0,1,0,11.2417,0,1,1,0,0
127,0,2,,0,0,7.75,0,1,0,1,0
128,1,2,24.0,0,0,7.1417,0,1,0,0,1
129,1,2,,1,1,22.3583,1,0,1,0,0
130,0,2,45.0,0,0,6.975,0,1,0,0,1
131,0,2,33.0,0,0,7.8958,0,1,1,0,0
132,0,2,20.0,0,0,7.05,0,1,0,0,1
133,0,2,47.0,1,0,14.5,1,0,0,0,1
134,1,1,29.0,1,0,26.0,1,0,0,0,1
135,0,1,25.0,0,0,13.0,0,1,0,0,1
136,0,1,23.0,0,0,15.0458,0,1,1,0,0
137,1,0,19.0,0,2,26.2833,1,0,0,0,1
138,0,0,37.0,1,0,53.1,0,1,0,0,1
139,0,2,16.0,0,0,9.2167,0,1,0,0,1
140,0,0,24.0,0,0,79.2,0,1,1,0,0
141,0,2,,0,2,15.2458,1,0,1,0,0
142,1,2,22.0,0,0,7.75,1,0,0,0,1
143,1,2,24.0,1,0,15.85,1,0,0,0,1
144,0,2,19.0,0,0,6.75,0,1,0,1,0
145,0,1,18.0,0,0,11.5,0,1,0,0,1
146,0,1,19.0,1,1,36.75,0,1,0,0,1
147,1,2,27.0,0,0,7.7958,0,1,0,0,1
148,0,2,9.0,2,2,34.375,1,0,0,0,1
149,0,1,36.5,0,2,26.0,0,1,0,0,1
150,0,1,42.0,0,0,13.0,0,1,0,0,1
151,0,1,51.0,0,0,12.525,0,1,0,0,1
152,1,0,22.0,1,0,66.6,1,0,0,0,1
153,0,2,55.5,0,0,8.05,0,1,0,0,1
154,0,2,40.5,0,2,14.5,0,1,0,0,1
155,0,2,,0,0,7.3125,0,1,0,0,1
156,0,0,51.0,0,1,61.3792,0,1,1,0,0
157,1,2,16.0,0,0,7.7333,1,0,0,1,0
158,0,2,30.0,0,0,8.05,0,1,0,0,1
159,0,2,,0,0,8.6625,0,1,0,0,1
160,0,2,,8,2,69.55,0,1,0,0,1
161,0,2,44.0,0,1,16.1,0,1,0,0,1
162,1,1,40.0,0,0,15.75,1,0,0,0,1
163,0,2,26.0,0,0,7.775,0,1,0,0,1
164,0,2,17.0,0,0,8.6625,0,1,0,0,1
165,0,2,1.0,4,1,39.6875,0,1,0,0,1
166,1,2,9.0,0,2,20.525,0,1,0,0,1
167,1,0,,0,1,55.0,1,0,0,0,1
168,0,2,45.0,1,4,27.9,1,0,0,0,1
169,0,0,,0,0,25.925,0,1,0,0,1
170,0,2,28.0,0,0,56.4958,0,1,0,0,1
171,0,0,61.0,0,0,33.5,0,1,0,0,1
172,0,2,4.0,4,1,29.125,0,1,0,1,0
173,1,2,1.0,1,1,11.1333,1,0,0,0,1
174,0,2,21.0,0,0,7.925,0,1,0,0,1
175,0,0,56.0,0,0,30.6958,0,1,1,0,0
176,0,2,18.0,1,1,7.8542,0,1,0,0,1
177,0,2,,3,1,25.4667,0,1,0,0,1
178,0,0,50.0,0,0,28.7125,1,0,1,0,0
179,0,1,30.0,0,0,13.0,0,1,0,0,1
180,0,2,36.0,0,0,0.0,0,1,0,0,1
181,0,2,,8,2,69.55,1,0,0,0,1
182,0,1,,0,0,15.05,0,1,1,0,0
183,0,2,9.0,4,2,31.3875,0,1,0,0,1
184,1,1,1.0,2,1,39.0,0,1,0,0,1
185,1,2,4.0,0,2,22.025,1,0,0,0,1
186,0,0,,0,0,50.0,0,1,0,0,1
187,1,2,,1,0,15.5,1,0,0,1,0
188,1,0,45.0,0,0,26.55,0,1,0,0,1
189,0,2,40.0,1,1,15.5,0,1,0,1,0
190,0,2,36.0,0,0,7.8958,0,1,0,0,1
191,1,1,32.0,0,0,13.0,1,0,0,0,1
192,0,1,19.0,0,0,13.0,0,1,0,0,1
193,1,2,19.0,1,0,7.8542,1,0,0,0,1
194,1,1,3.0,1,1,26.0,0,1,0,0,1
195,1,0,44.0,0,0,27.7208,1,0,1,0,0
196,1,0,58.0,0,0,146.5208,1,0,1,0,0
197,0,2,,0,0,7.75,0,1,0,1,0
198,0,2,42.0,0,1,8.4042,0,1,0,0,1
199,1,2,,0,0,7.75,1,0,0,1,0
200,0,1,24.0,0,0,13.0,1,0,0,0,1
201,0,2,28.0,0,0,9.5,0,1,0,0,1
202,0,2,,8,2,69.55,0,1,0,0,1
203,0,2,34.0,0,0,6.4958,0,1,0,0,1
204,0,2,45.5,0,0,7.225,0,1,1,0,0
205,1,2,18.0,0,0,8.05,0,1,0,0,1
206,0,2,2.0,0,1,10.4625,1,0,0,0,1
207,0,2,32.0,1,0,15.85,0,1,0,0,1
208,1,2,26.0,0,0,18.7875,0,1,1,0,0
209,1,2,16.0,0,0,7.75,1,0,0,1,0
210,1,0,40.0,0,0,31.0,0,1,1,0,0
211,0,2,24.0,0,0,7.05,0,1,0,0,1
212,1,1,35.0,0,0,21.0,1,0,0,0,1
213,0,2,22.0,0,0,7.25,0,1,0,0,1
214,0,1,30.0,0,0,13.0,0,1,0,0,1
215,0,2,,1,0,7.75,0,1,0,1,0
216,1,0,31.0,1,0,113.275,1,0,1,0,0
217,1,2,27.0,0,0,7.925,1,0,0,0,1
218,0,1,42.0,1,0,27.0,0,1,0,0,1
219,1,0,32.0,0,0,76.2917,1,0,1,0,0
220,0,1,30.0,0,0,10.5,0,1,0,0,1
221,1,2,16.0,0,0,8.05,0,1,0,0,1
222,0,1,27.0,0,0,13.0,0,1,0,0,1
223,0,2,51.0,0,0,8.05,0,1,0,0,1
224,0,2,,0,0,7.8958,0,1,0,0,1
225,1,0,38.0,1,0,90.0,0,1,0,0,1
226,0,2,22.0,0,0,9.35,0,1,0,0,1
227,1,1,19.0,0,0,10.5,0,1,0,0,1
228,0,2,20.5,0,0,7.25,0,1,0,0,1
229,0,1,18.0,0,0,13.0,0,1,0,0,1
230,0,2,,3,1,25.4667,1,0,0,0,1
231,1,0,35.0,1,0,83.475,1,0,0,0,1
232,0,2,29.0,0,0,7.775,0,1,0,0,1
233,0,1,59.0,0,0,13.5,0,1,0,0,1
234,1,2,5.0,4,2,31.3875,1,0,0,0,1
235,0,1,24.0,0,0,10.5,0,1,0,0,1
236,0,2,,0,0,7.55,1,0,0,0,1
237,0,1,44.0,1,0,26.0,0,1,0,0,1
238,1,1,8.0,0,2,26.25,1,0,0,0,1
239,0,1,19.0,0,0,10.5,0,1,0,0,1
240,0,1,33.0,0,0,12.275,0,1,0,0,1
241,0,2,,1,0,14.4542,1,0,1,0,0
242,1,2,,1,0,15.5,1,0,0,1,0
243,0,1,29.0,0,0,10.5,0,1,0,0,1
244,0,2,22.0,0,0,7.125,0,1,0,0,1
245,0,2,30.0,0,0,7.225,0,1,1,0,0
246,0,0,44.0,2,0,90.0,0,1,0,1,0
247,0,2,25.0,0,0,7.775,1,0,0,0,1
248,1,1,24.0,0,2,14.5,1,0,0,0,1
249,1,0,37.0,1,1,52.5542,0,1,0,0,1
250,0,1,54.0,1,0,26.0,0,1,0,0,1
251,0,2,,0,0,7.25,0,1,0,0,1
252,0,2,29.0,1,1,10.4625,1,0,0,0,1
253,0,0,62.0,0,0,26.55,0,1,0,0,1
254,0,2,30.0,1,0,16.1,0,1,0,0,1
255,0,2,41.0,0,2,20.2125,1,0,0,0,1
256,1,2,29.0,0,2,15.2458,1,0,1,0,0
257,1,0,,0,0,79.2,1,0,1,0,0
258,1,0,30.0,0,0,86.5,1,0,0,0,1
259,1,0,35.0,0,0,512.3292,1,0,1,0,0
260,1,1,50.0,0,1,26.0,1,0,0,0,1
261,0,2,,0,0,7.75,0,1,0,1,0
262,1,2,3.0,4,2,31.3875,0,1,0,0,1
263,0,0,52.0,1,1,79.65,0,1,0,0,1
264,0,0,40.0,0,0,0.0,0,1,0,0,1
265,0,2,,0,0,7.75,1,0,0,1,0
266,0,1,36.0,0,0,10.5,0,1,0,0,1
267,0,2,16.0,4,1,39.6875,0,1,0,0,1
268,1,2,25.0,1,0,7.775,0,1,0,0,1
269,1,0,58.0,0,1,153.4625,1,0,0,0,1
270,1,0,35.0,0,0,135.6333,1,0,0,0,1
271,0,0,,0,0,31.0,0,1,0,0,1
272,1,2,25.0,0,0,0.0,0,1,0,0,1
273,1,1,41.0,0,1,19.5,1,0,0,0,1
274,0,0,37.0,0,1,29.7,0,1,1,0,0
275,1,2,,0,0,7.75,1,0,0,1,0
276,1,0,63.0,1,0,77.9583,1,0,0,0,1
277,0,2,45.0,0,0,7.75,1,0,0,0,1
278,0,1,,0,0,0.0,0,1,0,0,1
279,0,2,7.0,4,1,29.125,0,1,0,1,0
280,1,2,35.0,1,1,20.25,1,0,0,0,1
281,0,2,65.0,0,0,7.75,0,1,0,1,0
282,0,2,28.0,0,0,7.8542,0,1,0,0,1
283,0,2,16.0,0,0,9.5,0,1,0,0,1
284,1,2,19.0,0,0,8.05,0,1,0,0,1
285,0,0,,0,0,26.0,0,1,0,0,1
286,0,2,33.0,0,0,8.6625,0,1,1,0,0
287,1,2,30.0,0,0,9.5,0,1,0,0,1
288,0,2,22.0,0,0,7.8958,0,1,0,0,1
289,1,1,42.0,0,0,13.0,0,1,0,0,1
290,1,2,22.0,0,0,7.75,1,0,0,1,0
291,1,0,26.0,0,0,78.85,1,0,0,0,1
292,1,0,19.0,1,0,91.0792,1,0,1,0,0
293,0,1,36.0,0,0,12.875,0,1,1,0,0
294,0,2,24.0,0,0,8.85,1,0,0,0,1
295,0,2,24.0,0,0,7.8958,0,1,0,0,1
296,0,0,,0,0,27.7208,0,1,1,0,0
297,0,2,23.5,0,0,7.2292,0,1,1,0,0
298,0,0,2.0,1,2,151.55,1,0,0,0,1
299,1,0,,0,0,30.5,0,1,0,0,1
300,1,0,50.0,0,1,247.5208,1,0,1,0,0
301,1,2,,0,0,7.75,1,0,0,1,0
302,1,2,,2,0,23.25,0,1,0,1,0
303,0,2,19.0,0,0,0.0,0,1,0,0,1
304,1,1,,0,0,12.35,1,0,0,1,0
305,0,2,,0,0,8.05,0,1,0,0,1
306,1,0,0.92,1,2,151.55,0,1,0,0,1
307,1,0,,0,0,110.8833,1,0,1,0,0
308,1,0,17.0,1,0,108.9,1,0,1,0,0
309,0,1,30.0,1,0,24.0,0,1,1,0,0
310,1,0,30.0,0,0,56.9292,1,0,1,0,0
311,1,0,24.0,0,0,83.1583,1,0,1,0,0
312,1,0,18.0,2,2,262.375,1,0,1,0,0
313,0,1,26.0,1,1,26.0,1,0,0,0,1
314,0,2,28.0,0,0,7.8958,0,1,0,0,1
315,0,1,43.0,1,1,26.25,0,1,0,0,1
316,1,2,26.0,0,0,7.8542,1,0,0,0,1
317,1,1,24.0,1,0,26.0,1,0,0,0,1
318,0,1,54.0,0,0,14.0,0,1,0,0,1
319,1,0,31.0,0,2,164.8667,1,0,0,0,1
320,1,0,40.0,1,1,134.5,1,0,1,0,0
321,0,2,22.0,0,0,7.25,0,1,0,0,1
322,0,2,27.0,0,0,7.8958,0,1,0,0,1
323,1,1,30.0,0,0,12.35,1,0,0,1,0
324,1,1,22.0,1,1,29.0,1,0,0,0,1
325,0,2,,8,2,69.55,0,1,0,0,1
326,1,0,36.0,0,0,135.6333,1,0,1,0,0
327,0,2,61.0,0,0,6.2375,0,1,0,0,1
328,1,1,36.0,0,0,13.0,1,0,0,0,1
329,1,2,31.0,1,1,20.525,1,0,0,0,1
330,1,0,16.0,0,1,57.9792,1,0,1,0,0
331,1,2,,2,0,23.25,1,0,0,1,0
332,0,0,45.5,0,0,28.5,0,1,0,0,1
333,0,0,38.0,0,1,153.4625,0,1,0,0,1
334,0,2,16.0,2,0,18.0,0,1,0,0,1
335,1,0,,1,0,133.65,1,0,0,0,1
336,0,2,,0,0,7.8958,0,1,0,0,1
337,0,0,29.0,1,0,66.6,0,1,0,0,1
338,1,0,41.0,0,0,134.5,1,0,1,0,0
339,1,2,45.0,0,0,8.05,0,1,0,0,1
340,0,0,45.0,0,0,35.5,0,1,0,0,1
341,1,1,2.0,1,1,26.0,0,1,0,0,1
342,1,0,24.0,3,2,263.0,1,0,0,0,1
343,0,1,28.0,0,0,13.0,0,1,0,0,1
344,0,1,25.0,0,0,13.0,0,1,0,0,1
345,0,1,36.0,0,0,13.0,0,1,0,0,1
346,1,1,24.0,0,0,13.0,1,0,0,0,1
347,1,1,40.0,0,0,13.0,1,0,0,0,1
348,1,2,,1,0,16.1,1,0,0,0,1
349,1,2,3.0,1,1,15.9,0,1,0,0,1
350,0,2,42.0,0,0,8.6625,0,1,0,0,1
351,0,2,23.0,0,0,9.225,0,1,0,0,1
352,0,0,,0,0,35.0,0,1,0,0,1
353,0,2,15.0,1,1,7.2292,0,1,1,0,0
354,0,2,25.0,1,0,17.8,0,1,0,0,1
355,0,2,,0,0,7.225,0,1,1,0,0
356,0,2,28.0,0,0,9.5,0,1,0,0,1
357,1,0,22.0,0,1,55.0,1,0,0,0,1
358,0,1,38.0,0,0,13.0,1,0,0,0,1
359,1,2,,0,0,7.8792,1,0,0,1,0
360,1,2,,0,0,7.8792,1,0,0,1,0
361,0,2,40.0,1,4,27.9,0,1,0,0,1
362,0,1,29.0,1,0,27.7208,0,1,1,0,0
363,0,2,45.0,0,1,14.4542,1,0,1,0,0
364,0,2,35.0,0,0,7.05,0,1,0,0,1
365,0,2,,1,0,15.5,0,1,0,1,0
366,0,2,30.0,0,0,7.25,0,1,0,0,1
367,1,0,60.0,1,0,75.25,1,0,1,0,0
368,1,2,,0,0,7.2292,1,0,1,0,0
369,1,2,,0,0,7.75,1,0,0,1,0
370,1,0,24.0,0,0,69.3,1,0,1,0,0
371,1,0,25.0,1,0,55.4417,0,1,1,0,0
372,0,2,18.0,1,0,6.4958,0,1,0,0,1
373,0,2,19.0,0,0,8.05,0,1,0,0,1
374,0,0,22.0,0,0,135.6333,0,1,1,0,0
375,0,2,3.0,3,1,21.075,1,0,0,0,1
376,1,0,,1,0,82.1708,1,0,1,0,0
377,1,2,22.0,0,0,7.25,1,0,0,0,1
378,0,0,27.0,0,2,211.5,0,1,1,0,0
379,0,2,20.0,0,0,4.0125,0,1,1,0,0
380,0,2,19.0,0,0,7.775,0,1,0,0,1
381,1,0,42.0,0,0,227.525,1,0,1,0,0
382,1,2,1.0,0,2,15.7417,1,0,1,0,0
383,0,2,32.0,0,0,7.925,0,1,0,0,1
384,1,0,35.0,1,0,52.0,1,0,0,0,1
385,0,2,,0,0,7.8958,0,1,0,0,1
386,0,1,18.0,0,0,73.5,0,1,0,0,1
387,0,2,1.0,5,2,46.9,0,1,0,0,1
388,1,1,36.0,0,0,13.0,1,0,0,0,1
389,0,2,,0,0,7.7292,0,1,0,1,0
390,1,1,17.0,0,0,12.0,1,0,1,0,0
391,1,0,36.0,1,2,120.0,0,1,0,0,1
392,1,2,21.0,0,0,7.7958,0,1,0,0,1
393,0,2,28.0,2,0,7.925,0,1,0,0,1
394,1,0,23.0,1,0,113.275,1,0,1,0,0
395,1,2,24.0,0,2,16.7,1,0,0,0,1
396,0,2,22.0,0,0,7.7958,0,1,0,0,1
397,0,2,31.0,0,0,7.8542,1,0,0,0,1
398,0,1,46.0,0,0,26.0,0,1,0,0,1
399,0,1,23.0,0,0,10.5,0,1,0,0,1
400,1,1,28.0,0,0,12.65,1,0,0,0,1
401,1,2,39.0,0,0,7.925,0,1,0,0,1
402,0,2,26.0,0,0,8.05,0,1,0,0,1
403,0,2,21.0,1,0,9.825,1,0,0,0,1
404,0,2,28.0,1,0,15.85,0,1,0,0,1
405,0,2,20.0,0,0,8.6625,1,0,0,0,1
406,0,1,34.0,1,0,21.0,0,1,0,0,1
407,0,2,51.0,0,0,7.75,0,1,0,0,1
408,1,1,3.0,1,1,18.75,0,1,0,0,1
409,0,2,21.0,0,0,7.775,0,1,0,0,1
410,0,2,,3,1,25.4667,1,0,0,0,1
411,0,2,,0,0,7.8958,0,1,0,0,1
412,0,2,,0,0,6.8583,0,1,0,1,0
413,1,0,33.0,1,0,90.0,1,0,0,1,0
414,0,1,,0,0,0.0,0,1,0,0,1
415,1,2,44.0,0,0,7.925,0,1,0,0,1
416,0,2,,0,0,8.05,1,0,0,0,1
417,1,1,34.0,1,1,32.5,1,0,0,0,1
418,1,1,18.0,0,2,13.0,1,0,0,0,1
419,0,1,30.0,0,0,13.0,0,1,0,0,1
420,0,2,10.0,0,2,24.15,1,0,0,0,1
421,0,2,,0,0,7.8958,0,1,1,0,0
422,0,2,21.0,0,0,7.7333,0,1,0,1,0
423,0,2,29.0,0,0,7.875,0,1,0,0,1
424,0,2,28.0,1,1,14.4,1,0,0,0,1
425,0,2,18.0,1,1,20.2125,0,1,0,0,1
426,0,2,,0,0,7.25,0,1,0,0,1
427,1,1,28.0,1,0,26.0,1,0,0,0,1
428,1,1,19.0,0,0,26.0,1,0,0,0,1
429,0,2,,0,0,7.75,0,1,0,1,0
430,1,2,32.0,0,0,8.05,0,1,0,0,1
431,1,0,28.0,0,0,26.55,0,1,0,0,1
432,1,2,,1,0,16.1,1,0,0,0,1
433,1,1,42.0,1,0,26.0,1,0,0,0,1
434,0,2,17.0,0,0,7.125,0,1,0,0,1
435,0,0,50.0,1,0,55.9,0,1,0,0,1
436,1,0,14.0,1,2,120.0,1,0,0,0,1
437,0,2,21.0,2,2,34.375,1,0,0,0,1
438,1,1,24.0,2,3,18.75,1,0,0,0,1
439,0,0,64.0,1,4,263.0,0,1,0,0,1
440,0,1,31.0,0,0,10.5,0,1,0,0,1
441,1,1,45.0,1,1,26.25,1,0,0,0,1
442,0,2,20.0,0,0,9.5,0,1,0,0,1
443,0,2,25.0,1,0,7.775,0,1,0,0,1
444,1,1,28.0,0,0,13.0,1,0,0,0,1
445,1,2,,0,0,8.1125,0,1,0,0,1
446,1,0,4.0,0,2,81.8583,0,1,0,0,1
447,1,1,13.0,0,1,19.5,1,0,0,0,1
448,1,0,34.0,0,0,26.55,0,1,0,0,1
449,1,2,5.0,2,1,19.2583,1,0,1,0,0
450,1,0,52.0,0,0,30.5,0,1,0,0,1
451,0,1,36.0,1,2,27.75,0,1,0,0,1
452,0,2,,1,0,19.9667,0,1,0,0,1
453,0,0,30.0,0,0,27.75,0,1,1,0,0
454,1,0,49.0,1,0,89.1042,0,1,1,0,0
455,0,2,,0,0,8.05,0,1,0,0,1
456,1,2,29.0,0,0,7.8958,0,1,1,0,0
457,0,0,65.0,0,0,26.55,0,1,0,0,1
458,1,0,,1,0,51.8625,1,0,0,0,1
459,1,1,50.0,0,0,10.5,1,0,0,0,1
460,0,2,,0,0,7.75,0,1,0,1,0
461,1,0,48.0,0,0,26.55,0,1,0,0,1
462,0,2,34.0,0,0,8.05,0,1,0,0,1
463,0,0,47.0,0,0,38.5,0,1,0,0,1
464,0,1,48.0,0,0,13.0,0,1,0,0,1
465,0,2,,0,0,8.05,0,1,0,0,1
466,0,2,38.0,0,0,7.05,0,1,0,0,1
467,0,1,,0,0,0.0,0,1,0,0,1
468,0,0,56.0,0,0,26.55,0,1,0,0,1
469,0,2,,0,0,7.725,0,1,0,1,0
470,1,2,0.75,2,1,19.2583,1,0,1,0,0
471,0,2,,0,0,7.25,0,1,0,0,1
472,0,2,38.0,0,0,8.6625,0,1,0,0,1
473,1,1,33.0,1,2,27.75,1,0,0,0,1
474,1,1,23.0,0,0,13.7917,1,0,1,0,0
475,0,2,22.0,0,0,9.8375,1,0,0,0,1
476,0,0,,0,0,52.0,0,1,0,0,1
477,0,1,34.0,1,0,21.0,0,1,0,0,1
478,0,2,29.0,1,0,7.0458,0,1,0,0,1
479,0,2,22.0,0,0,7.5208,0,1,0,0,1
480,1,2,2.0,0,1,12.2875,1,0,0,0,1
481,0,2,9.0,5,2,46.9,0,1,0,0,1
482,0,1,,0,0,0.0,0,1,0,0,1
483,0,2,50.0,0,0,8.05,0,1,0,0,1
484,1,2,63.0,0,0,9.5875,1,0,0,0,1
485,1,0,25.0,1,0,91.0792,0,1,1,0,0
486,0,2,,3,1,25.4667,1,0,0,0,1
487,1,0,35.0,1,0,90.0,1,0,0,0,1
488,0,0,58.0,0,0,29.7,0,1,1,0,0
489,0,2,30.0,0,0,8.05,0,1,0,0,1
490,1,2,9.0,1,1,15.9,0,1,0,0,1
491,0,2,,1,0,19.9667,0,1,0,0,1
492,0,2,21.0,0,0,7.25,0,1,0,0,1
493,0,0,55.0,0,0,30.5,0,1,0,0,1
494,0,0,71.0,0,0,49.5042,0,1,1,0,0
495,0,2,21.0,0,0,8.05,0,1,0,0,1
496,0,2,,0,0,14.4583,0,1,1,0,0
497,1,0,54.0,1,0,78.2667,1,0,1,0,0
498,0,2,,0,0,15.1,0,1,0,0,1
499,0,0,25.0,1,2,151.55,1,0,0,0,1
500,0,2,24.0,0,0,7.7958,0,1,0,0,1
